도구명,카테고리,주요 기능,가격,대상,특징,활용도,난이도,URL
자작자작,AI 글쓰기,"AI 피드백, 디지털북 생성, 글감 추천",교육기관 할인,초중고,"30만건 작문데이터 기반, 교사 업무 90% 해결",5,2,https://www.jajakjajak.com
뤼튼트레이닝,AI 글쓰기,"글쓰기 훈련, AI 가이드, 구조화된 작문",무료/유료,전체,"HyperCLOVA 기반, 한국어 특화",4,2,https://training.wrtn.ai
구글 문서,협업 도구,"실시간 공동편집, 클라우드 저장",무료,전체,가장 널리 사용되는 협업 도구,5,1,https://docs.google.com
브리스크 티칭,AI 교육도구,"30개 이상 AI 도구, 크롬 확장프로그램",무료/유료,교사,교사를 위한 올인원 AI 도구,4,3,https://www.briskteaching.com/ko
심스페이스,감정관리,"AI 감정분석, 마음일기, 스트레스 관리",무료,초중고생,"학생 마음챙김, 감정 시각화",3,1,https://diary.seamspace.me
레드멘타,AI 교육도구,"AI 워크시트 생성, 3초 만에 문제지 제작",교육기관 할인,교사,"130만 교사 신뢰, BETT 2025 혁신상",5,2,https://redmenta.com/ko
패들렛,협업 도구,"온라인 협업게시판, 실시간 공유",무료(3개)/유료,전체,간편한 온라인 포스트잇,5,1,https://padlet.com
클로바노트,음성인식,"음성→텍스트 변환, AI 요약",무료(600분),전체,"네이버 AI 음성인식, 95% 정확도",4,1,https://clovanote.naver.com
구글 설문지,설문/평가,"온라인 설문, 퀴즈, 자동채점",무료,전체,구글 생태계 연동,5,1,https://docs.google.com/forms
캔바,디자인,"디자인 도구, AI 이미지 생성",교육기관 무료,전체,"교육기관 무료, AI 기능 포함",5,2,https://www.canva.com/ko_kr
아트봉봉스쿨,미술교육,"AI 드로잉, 디지털 미술, 포토 스케치",학교 허가 필요,초중고,"수채화/유화 브러시, AI 심리검사",3,2,https://school-teacher.art-bonbon.com
챗GPT,AI 어시스턴트,"대화형 AI, 글쓰기 브레인스토밍",무료/유료,전체,가장 널리 사용되는 AI,5,2,https://chatgpt.com
제미나이,AI 어시스턴트,"멀티모달 AI, 텍스트/이미지/영상 생성",무료/유료,전체,"구글 생태계, 멀티모달",4,3,https://gemini.google.com
퍼플렉시티,AI 검색,"출처 기반 실시간 검색, 신뢰성 높은 정보",무료/유료,전체,"출처 명시, 실시간 정보",4,3,https://www.perplexity.ai
